Depto,Nivel,Tipo,Area_privativa_m2,Porcentaje_Indiviso,m2_Comunes
A-01,Planta Baja,Ópalo,72.4937,6.18389,32.6995
A-02,Planta Baja,Rubí,74.0424,6.31600,33.3981
A-03,Planta Baja,Rubí,74.0424,6.31600,33.3981
A-04,Planta Baja,Ópalo,72.4963,6.18411,32.7007
A-05,Primer Nivel,Ópalo,72.4937,6.18389,32.6995
A-06,Primer Nivel,Rubí,74.0424,6.31600,33.3981
A-07,Primer Nivel,Rubí,74.0424,6.31600,33.3981
A-08,Primer Nivel,Ópalo,72.4963,6.18411,32.7007
A-09,Segundo Nivel,Ópalo,72.4937,6.18389,32.6995
A-10,Segundo Nivel,Rubí,74.0424,6.31600,33.3981
A-11,Segundo Nivel,Rubí,74.0424,6.31600,33.3981
A-12,Segundo Nivel,Ópalo,72.4963,6.18411,32.7007
A-13,Tercer Nivel,Ópalo,72.4937,6.18389,32.6995
A-14,Tercer Nivel,Rubí,74.0424,6.31600,33.3981
A-15,Tercer Nivel,Rubí,74.0424,6.31600,33.3981
A-16,Tercer Nivel,Ópalo,72.4963,6.18411,32.7007
